,Title,Distributor,Gross,Max Th,Opening,% of Total,Open Th,Open,Close,Estimated,Rated,Genre,Language,Awards,DVD,BoxOffice,Director,Writer,Actors,Runtime,Plot,IMDB_ID,IMDB_Rating,IMDB_Votes,IMDB_Metascore
216,The Ex-File 3: Return of the Exes,China Lion Film Distribution,"$740,525",24,"$125,291",16.9%,21,Dec 29,Feb 8,False,PG-13,"Comedy, Romance",Mandarin,N/A,N/A,N/A,Yu-sheng Tian,"Jia Chang, Da-Kuan, Jingqi Ma, Yu-sheng Tian","Geng Han, Ryan Zheng, Wenwen Yu, Mengxue Zeng",120 min,A couples relationship is tested by the untimely appearances of their exes!,tt7830888,5.7,308,N/A
217,Good Time,A24,"$2,026,499",721,"$125,101",6.2%,4,Aug 11,Nov 12,False,R,"Crime, Drama, Thriller",English,6 wins & 36 nominations.,21 Nov 2017,"$1,999,047","Benny Safdie, Josh Safdie","Ronald Bronstein, Josh Safdie","Robert Pattinson, Benny Safdie, Buddy Duress, Taliah Webster",101 min,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail.",tt4846232,7.3,"57,448",80
218,An Inconvenient Sequel: Truth to Power,Paramount Pictures,"$3,496,795",556,"$124,823",3.6%,4,Jul 28,Sep 7,False,PG,Documentary,"English, French, Russian, German, Mandarin",Nominated for 1 BAFTA Film Award. Another 3 wins & 12 nominations.,24 Oct 2017,"$3,456,144","Bonni Cohen, Jon Shenk",Al Gore,"Al Gore, Cory Booker, George W. Bush, Bill Clinton",98 min,"A decade after An Inconvenient Truth (2006) brought climate change to the heart of popular culture, the follow-up shows just how close we are to a real energy revolution.",tt6322922,6.4,"7,057",68
219,A Silent Voice,Eleven Arts,"$308,414",148,"$121,732",39.5%,41,Oct 20,Nov 30,False,Not Rated,"Animation, Drama, Romance","Japanese, Japanese Sign Language",2 wins & 2 nominations.,N/A,N/A,Naoko Yamada,"Yoshitoki Oima (manga: ""Koe no katachi""), Reiko Yoshida (screenplay), Kiyoshi Shigematsu (original author: ""Curry Rice"")","Miyu Irino, Saori Hayami, Aoi Yûki, Kenshô Ono",130 min,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",tt5323662,8.2,"29,857",78
220,Colossal,Neon,"$3,029,287",327,"$120,226",4%,4,Apr 7,Jul 13,False,R,"Comedy, Drama, Fantasy, Sci-Fi, Thriller","English, Korean",3 wins & 4 nominations.,01 Aug 2017,"$3,027,134",Nacho Vigalondo,Nacho Vigalondo,"Anne Hathaway, Jason Sudeikis, Austin Stowell, Tim Blake Nelson",109 min,"Gloria is an out-of-work party girl forced to leave her life in New York City and move back home. When reports surface that a giant creature is destroying Seoul, she gradually comes to the realization that she is somehow connected to this phenomenon.",tt4680182,6.2,"52,923",70
221,Spark: A Space Tail,Open Road Films (II),"$196,458",365,"$116,873",59.5%,365,Apr 14,Apr 27,False,PG,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",English,1 win & 1 nomination.,11 Jul 2017,"$190,511",Aaron Woodley,"Aaron Woodley, Daniel Woo (story by), Aaron Woodley (story by), Goran Delic (initial concept by), Hee Kyung Kang (initial concept by), Doug Hadders (additional material written by), Robert Reece (additional material written by), Adam Rotstein (additional material written by)","Jace Norman, Jessica Biel, Patrick Stewart, Hilary Swank",91 min,"Spark, a teenage monkey and his friends, Chunk and Vix, are on a mission to regain Planet Bana, a kingdom overtaken by the evil overlord Zhong.",tt3228088,4.5,907,22
222,Railroad Tigers,Well Go USA Entertainment,"$196,958",43,"$116,211",59%,43,Jan 6,Feb 2,False,Not Rated,"Action, Comedy, War","Mandarin, Japanese, English",2 nominations.,N/A,N/A,Sheng Ding,"Sheng Ding, Alex Jia (script advisor), He Keke","Jackie Chan, Zitao Huang, Jaycee Chan, Kai Wang",124 min,A railroad worker in China in 1941 leads a team of freedom fighters against the Japanese in order to get food for the poor.,tt4687848,5.8,"3,328",47
223,City of Rock,Well Go USA Entertainment,"$312,537",43,"$115,524",37%,43,Oct 6,Nov 16,False,N/A,"Comedy, Music",Mandarin,N/A,N/A,"$115,524",Chengpeng Dong,"Chengpeng Dong, Biao Su","Chengpeng Dong, Shan Qiao, Coulee Nazha, Hong-Chi Lee",117 min,A young musician from a small town in China tries to save his town's treasured Rock Park by organizing a charity rock concert.,tt7339584,6.2,419,N/A
224,The Killing of a Sacred Deer,A24,"$2,291,901",238,"$115,120",5%,4,Oct 20,Dec 28,False,R,"Drama, Mystery, Thriller","English, French",2 wins & 30 nominations.,23 Jan 2018,"$1,955,883",Yorgos Lanthimos,"Yorgos Lanthimos, Efthymis Filippou","Barry G. Bernson, Herb Caillouet, Bill Camp, Raffey Cassidy",121 min,"Steven, a charismatic surgeon, is forced to make an unthinkable sacrifice after his life starts to fall apart, when the behavior of a teenage boy he has taken under his wing turns sinister.",tt5715874,7.0,"97,417",73
225,Kung Fu Yoga,Well Go USA Entertainment,"$357,263",27,"$111,979",31.3%,14,Jan 27,Feb 23,False,Not Rated,"Action, Adventure, Comedy, Fantasy, Mystery","Mandarin, English",N/A,N/A,N/A,Stanley Tong,Stanley Tong,"Jackie Chan, Yixing Zhang, Miya Muqi, Disha Patani",107 min,"Two professors team up to locate a lost treasure and embark on an adventure that takes them from a Tibetan ice cave to Dubai, and to a mountain temple in India.",tt4217392,5.2,"7,936",50
226,The Lost City of Z,Bleecker Street Media,"$8,580,410",866,"$110,175",1.3%,4,Apr 14,Jul 20,False,PG-13,"Biography, Drama, History","English, Portuguese, Tupi, Spanish, German",5 wins & 28 nominations.,11 Jul 2017,"$8,554,554",James Gray,"James Gray (written for the screen by), David Grann (based on the book by)","Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland",141 min,"A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s.",tt1212428,6.6,"68,826",78
227,Champion,-,"$175,232",31,"$108,591",62%,31,May 19,Jul 9,False,N/A,"Drama, Romance, Sport",Turkish,N/A,N/A,N/A,Ahmet Katiksiz,"Ahmet Katiksiz, Serkan Yoruk","Ekin Koç, Farah Zeynep Abdullah, Fikret Kuskan, Sibel Tasçioglu",130 min,"A true love and success story from the 1990s Turkey, revolving around a jockey (Halis Karatas), a horse (Bold Pilot) and the daughter of the horse's owner who is at the same time the voluntary caretaker of the horse.",tt9124428,8.5,"4,821",N/A
228,Valley of Bones,-,"$168,738",300,"$107,393",63.6%,300,Sep 1,Sep 21,False,R,"Crime, Thriller, Western",English,N/A,N/A,"$168,387",Dan Glaser,"Dan Glaser, Steven Molony, Richard M. Lewis, Jon Wanzek (story by)","Autumn Reeser, Rhys Coiro, Steven Molony, Mason Mahay",90 min,"A disgraced paleontologist struggling to raise her son is tipped off to a groundbreaking dig site in the Badlands by a recovering meth addict, but his tie to the cartel threatens to bury them both under the weight of their criminal pasts.",tt4180286,4.1,442,N/A
229,3 Generations,The Weinstein Company,"$155,936",37,"$105,215",67.5%,6,May 5,May 25,False,PG-13,Drama,"English, Spanish",1 nomination.,13 Jun 2017,"$66,371",Gaby Dellal,"Nikole Beckwith, Gaby Dellal","Elle Fanning, Linda Emond, Susan Sarandon, Naomi Watts",92 min,"After Ray decides to transition from female to male, Ray's mother, Maggie, must come to terms with the decision while tracking down Ray's biological father to get his legal consent.",tt4158624,5.9,"5,203",47
230,A Ghost Story,A24,"$1,566,452",329,"$104,030",6.6%,4,Jul 7,Sep 28,False,R,"Drama, Fantasy, Romance","English, Spanish",11 wins & 17 nominations.,03 Oct 2017,"$1,594,798",David Lowery,David Lowery,"Casey Affleck, Rooney Mara, McColm Cephas Jr., Kenneisha Thompson",92 min,"In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",tt6265828,6.8,"49,011",84
231,Norman,Sony Pictures Classics,"$3,150,101",373,"$99,211",3.1%,5,Apr 14,Jul 30,False,R,"Drama, Thriller","English, Hebrew",1 win & 1 nomination.,11 Jul 2017,"$3,814,868",Joseph Cedar,Joseph Cedar,"Richard Gere, Lior Ashkenazi, Michael Sheen, Steve Buscemi",118 min,"Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse.",tt4191702,6.1,"5,248",75
232,Paris Can Wait,Sony Pictures Classics,"$964,517",447,"$98,850",10.2%,4,May 12,Sep 28,False,PG,"Comedy, Drama, Romance","English, French",1 nomination.,05 Sep 2017,"$5,617,321",Eleanor Coppola,Eleanor Coppola,"Diane Lane, Arnaud Viard, Alec Baldwin, Elise Tielrooy",92 min,The wife of a successful movie producer takes a car trip from the south of France to Paris with one of her husband's associates.,tt4429194,5.8,"6,737",48
233,Brad's Status,Annapurna Pictures,"$2,133,158",453,"$89,921",4.2%,4,Sep 15,Oct 26,False,R,"Comedy, Drama, Music",English,1 win & 2 nominations.,02 Jan 2018,"$2,029,594",Mike White,Mike White,"Ben Stiller, Austin Abrams, Jenna Fischer, Michael Sheen",102 min,A father takes his son to tour colleges on the East Coast and meets up with an old friend who makes him feel inferior about his life's choices.,tt5884230,6.5,"13,964",71
234,The Bad Batch,Neon,"$180,851",46,"$89,111",49.3%,30,Jun 23,Jul 27,False,R,"Drama, Horror, Romance, Sci-Fi",English,1 win & 3 nominations.,22 Sep 2017,"$180,851",Ana Lily Amirpour,Ana Lily Amirpour,"Suki Waterhouse, Jason Momoa, Jayda Fink, Keanu Reeves",118 min,"In a desert dystopia, a young woman is kidnapped by cannibals.",tt4334266,5.3,"22,105",62
235,The Swindlers,Well Go USA Entertainment,"$240,979",27,"$82,818",34.4%,27,Dec 1,Dec 28,False,Not Rated,"Action, Crime","Korean, Chinese",N/A,N/A,N/A,Chang Won Jang,Chang Won Jang,"Hyun Bin, Ji-tae Yu, Seong-woo Bae, Sung-woong Park",117 min,Unlikely allies from different sides of the law must work together to achieve a common goal -- trapping the world's most legendary con man.,tt7243686,6.4,"1,105",N/A
236,The Prison,Well Go USA Entertainment,"$207,481",23,"$80,376",38.7%,23,Mar 31,May 4,False,Not Rated,"Action, Crime",Korean,1 win & 2 nominations.,N/A,"$207,167",Hyeon Na,Hyeon Na,"Rae-won Kim, Suk-kyu Han, Kyeong-yeong Lee, Seong-gyoon Kim",125 min,A troubled ex-cop is imprisoned for a hit-and-run accident. He discovers that the entire penitentiary is controlled by an inmate who has been running a crime syndicate with the help of the warden and guards which provides them 100% alibi.,tt6589464,6.5,"1,296",N/A
237,Personal Shopper,IFC Films,"$1,299,978",153,"$79,175",6.1%,4,Mar 10,Jun 11,False,R,"Drama, Horror, Mystery, Thriller","English, French, Swedish, German",9 wins & 19 nominations.,N/A,"$1,305,195",Olivier Assayas,Olivier Assayas,"Kristen Stewart, Lars Eidinger, Sigrid Bouaziz, Anders Danielsen Lie",105 min,A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.,tt4714782,6.1,"32,166",77
238,Risk,Neon,"$200,219",45,"$76,327",38.1%,34,May 5,Jul 6,False,TV-MA,Documentary,"English, Arabic, Spanish, German",4 nominations.,N/A,$756,Laura Poitras,Laura Poitras (narration),"Julian Assange, Sarah Harrison, Jacob Appelbaum, Joseph Farrell",86 min,The story of WikiLeak's editor-in-chief Julian Assange as seen by documentary filmmaker Laura Poitras.,tt4964772,6.3,"1,844",72
239,Their Finest,STX Entertainment,"$3,603,484",330,"$76,197",2.1%,4,Apr 7,Jun 22,False,R,"Comedy, Drama, Romance, War","English, Hungarian, Polish, French",1 win & 6 nominations.,11 Jul 2017,"$3,595,841",Lone Scherfig,"Lissa Evans (based on the novel ""Their Finest Hour and a Half"" by), Gaby Chiappe (screenplay by)","Sam Claflin, Gemma Arterton, Nicholas Murchie, Richard E. Grant",117 min,"A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them.",tt1661275,6.8,"15,711",76
240,The Square,Magnolia Pictures,"$1,462,373",70,"$74,233",5.1%,4,Oct 27,Mar 22,False,R,"Comedy, Drama","Swedish, English, Danish",Nominated for 1 Oscar. Another 27 wins & 36 nominations.,30 Jan 2018,"$1,284,672",Ruben Östlund,Ruben Östlund,"Claes Bang, Elisabeth Moss, Dominic West, Terry Notary",151 min,A prestigious Stockholm museum's chief art curator finds himself in times of both professional and personal crisis as he attempts to set up a controversial new exhibit.,tt4995790,7.2,"46,216",73
241,The Salesman,Cohen Media Group,"$2,402,067",115,"$71,078",3%,3,Jan 27,Apr 16,False,PG-13,"Drama, Thriller","Persian, English",Won 1 Oscar. Another 9 wins & 19 nominations.,02 May 2017,"$11,067",Asghar Farhadi,Asghar Farhadi,"Shahab Hosseini, Taraneh Alidoosti, Mina Sadati, Babak Karimi",124 min,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",tt5186714,7.8,"43,333",85
242,The Adventurers,Well Go USA Entertainment,"$178,243",17,"$68,614",38.5%,17,Aug 18,Sep 28,False,N/A,"Action, Adventure, Crime, Drama","Chinese, English, French, Russian",N/A,02 Jan 2018,"$214,502",Stephen Fung,"Chi Kwong Cheung, Stephen Fung, Zhichao Ha, Xiaozhuang Huang, Yiu Fai Lo, Todd Weinger (additional writing)","Andy Lau, Qi Shu, Jingchu Zhang, Tony Yo-ning Yang",108 min,"The world's top thieves join forces to pull off the heist of a lifetime. But when they find themselves pursued across Europe by a legendary French detective, they'll have to take their game to the next level.",tt5866930,5.6,"2,296",47
243,Patti Cake$,Fox Searchlight Pictures,"$800,148",303,"$67,599",8.4%,14,Aug 18,Oct 12,False,R,"Drama, Music",English,7 wins & 11 nominations.,N/A,"$794,817",Geremy Jasper,Geremy Jasper,"Sahr Ngaujah, Danielle Macdonald, Bridget Everett, Mamoudou Athie",109 min,"PATTI CAKE$ is centered on aspiring rapper Patricia Dombrowski, a.k.a. Killa P, a.k.a. Patti Cake$, who is fighting an unlikely quest for glory in her downtrodden hometown in New Jersey.",tt6288250,6.8,"8,869",67
244,A United Kingdom,Fox Searchlight Pictures,"$3,803,698",317,"$66,510",1.7%,4,Feb 10,May 25,False,PG-13,"Biography, Drama, Romance","Tswana, English",1 win & 4 nominations.,06 Jun 2017,"$3,901,302",Amma Asante,"Guy Hibbert (screenplay by), Susan Williams (based upon the book 'Colour Bar' by)","David Oyelowo, Rosamund Pike, Tom Felton, Jack Davenport",111 min,"The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman, Ruth Williams, put his kingdom into political and diplomatic turmoil.",tt3387266,6.8,"12,526",65
245,The Lovers,A24,"$2,194,521",443,"$66,286",3%,4,May 5,Jul 16,False,Not Rated,"Drama, Romance",French,2 wins & 1 nomination.,13 May 2008,N/A,Louis Malle,Louise de Vilmorin (dialogue),"Jeanne Moreau, Jean-Marc Bory, Judith Magre, José Luis de Vilallonga",90 min,"Saddled with a dull husband and a foolish lover, a woman has an affair with a stranger.",tt0052556,7.3,"4,209",N/A
246,Wonderstruck,Roadside Attractions,"$1,060,377",261,"$65,882",6.2%,4,Oct 20,Jan 4,False,PG,"Drama, Mystery","English, Spanish",1 win & 27 nominations.,22 May 2018,"$976,561",Todd Haynes,"Brian Selznick (screenplay by), Brian Selznick (based on the book by)","Millicent Simmonds, Julianne Moore, Cory Michael Smith, James Urbaniak",116 min,"Tells the tale of two children separated by fifty years. In 1927, Rose searches for the actress whose life she chronicles in her scrapbook; in 1977, Ben runs away from home to find his father.",tt5208216,6.2,"8,426",71
247,Munna Michael,Eros International,"$99,629",75,"$64,949",65.2%,75,Jul 21,Jul 27,False,Not Rated,"Action, Drama, Music, Romance",Hindi,N/A,N/A,"$64,949",Sabir Khan,Vimi Datta,"Tiger Shroff, Nidhhi Agerwal, Nawazuddin Siddiqui, Sahil Anand",140 min,"A young man, tries to follow the footsteps of his idol, The King of Pop, Michael Jackson.",tt6117702,3.4,"2,306",N/A
248,Lady Macbeth,Roadside Attractions,"$1,129,408",131,"$64,537",5.7%,5,Jul 14,Oct 5,False,R,"Drama, Romance",English,Nominated for 2 BAFTA Film Awards. Another 18 wins & 39 nominations.,17 Oct 2017,"$1,128,187",William Oldroyd,"Nikolai Leskov (based on Lady Macbeth of Mtsensk), Alice Birch","Florence Pugh, Cosmo Jarvis, Paul Hilton, Naomi Ackie",89 min,"In 19th-century rural England, a young bride who has been sold into marriage discovers an unstoppable desire within herself as she enters into an affair with a worker on her estate.",tt4291600,6.8,"15,888",76
249,Buena Vista Social Club: Adios,Broad Green Pictures,"$123,445",80,"$64,469",52.2%,80,May 26,Jun 9,False,PG,Documentary,"English, Spanish",N/A,12 Sep 2017,"$118,253",Lucy Walker,N/A,"Ibrahim Ferrer, Omara Portuondo, Eliades Ochoa, Barbarito Torres",110 min,Revisit with the remaining original members of the Buena Vista Social Club and explore their contribution to the unknown history of Cuba.,tt4653272,7.0,283,67
250,Menashe,A24,"$1,703,036",126,"$62,078",3.6%,3,Jul 28,Oct 19,False,PG,Drama,"Yiddish, English, Spanish",4 wins & 15 nominations.,N/A,"$1,688,620",Joshua Z Weinstein,"Alex Lipschultz, Musa Syeed, Joshua Z Weinstein","Menashe Lustig, Yoel Falkowitz, Hershy Fishman, Ruben Niborski",82 min,"Within Brooklyn's ultra-orthodox Jewish community, a widower battles for custody of his son. A tender drama performed entirely in Yiddish, the film intimately explores the nature of faith and the price of parenthood.",tt6333086,6.5,"1,538",81
251,"Roman J. Israel, Esq.",Sony Pictures Releasing,"$11,962,778",1669,"$61,999",0.5%,4,Nov 17,Feb 22,False,PG-13,"Crime, Drama, Thriller","English, Spanish, Armenian",Nominated for 1 Oscar. Another 1 win & 7 nominations.,13 Feb 2018,"$11,887,893",Dan Gilroy,Dan Gilroy,"Denzel Washington, Colin Farrell, Carmen Ejogo, Lynda Gravatt",122 min,"Roman J. Israel, Esq., a driven, idealistic defense attorney, finds himself in a tumultuous series of events that lead to a crisis and the necessity for extreme action.",tt6000478,6.4,"24,842",58
